date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2026-04-14,27,11,28,0.39,11,13
2026-04-15,27,19,29,0.66,17,54
2026-04-16,8,14,8,1.75,25,39
2026-04-17,5,9,5,1.8,40,32
2026-04-18,2,2,2,1.0,100,0
2026-04-19,3,10,3,3.33,0,294
2026-04-20,11,8,12,0.67,58,4
