Date,Not indexed,Indexed,Impressions
2026-01-20,178,43,11
2026-01-21,190,47,14
2026-01-22,190,47,11
2026-01-23,190,47,20
2026-01-24,190,47,13
2026-01-25,190,45,7
2026-01-26,190,45,19
2026-01-27,190,45,19
2026-01-28,186,46,20
2026-01-29,186,46,13
2026-01-30,186,46,15
2026-01-31,186,46,8
2026-02-01,187,45,12
2026-02-02,187,45,17
2026-02-03,187,45,19
2026-02-04,199,47,13
2026-02-05,199,47,14
2026-02-06,199,47,9
2026-02-07,199,47,15
2026-02-08,197,45,14
2026-02-09,197,45,16
2026-02-10,197,45,12
2026-02-11,196,45,25
2026-02-12,196,45,15
2026-02-13,196,45,22
2026-02-14,196,45,6
2026-02-15,196,44,20
2026-02-16,196,44,16
2026-02-17,196,44,28
2026-02-18,196,43,25
2026-02-19,196,43,31
2026-02-20,196,43,13
2026-02-21,196,43,14
2026-02-22,194,43,20
2026-02-23,194,43,15
2026-02-24,194,43,28
2026-02-25,191,43,18
2026-02-26,191,43,26
2026-02-27,191,43,8
2026-02-28,191,43,13
2026-03-01,191,43,24
2026-03-02,191,43,22
2026-03-03,191,43,43
2026-03-04,170,43,32
2026-03-05,170,43,28
2026-03-06,170,43,19
2026-03-07,170,43,15
2026-03-08,171,41,25
2026-03-09,171,41,11
2026-03-10,171,41,37
2026-03-11,161,42,14
2026-03-12,161,42,28
2026-03-13,161,42,25
2026-03-14,161,42,23
2026-03-15,161,42,17
2026-03-16,162,41,37
2026-03-17,162,41,39
2026-03-18,145,41,29
2026-03-19,145,41,25
2026-03-20,145,41,25
2026-03-21,145,41,25
2026-03-22,135,42,27
2026-03-23,135,42,31
2026-03-24,135,42,51
2026-03-25,130,43,51
2026-03-26,130,43,44
2026-03-27,130,43,53
2026-03-28,130,43,29
2026-03-29,125,43,52
2026-03-30,125,43,48
2026-03-31,125,43,44
2026-04-01,124,43,46
2026-04-02,124,43,63
2026-04-03,124,43,47
2026-04-04,124,43,42
2026-04-05,123,45,55
2026-04-06,123,45,72
2026-04-07,122,44,79
2026-04-08,122,44,73
2026-04-09,122,44,72
2026-04-10,122,44,74
2026-04-11,123,44,64
2026-04-12,123,44,83
2026-04-13,123,44,82
2026-04-14,125,40,86
2026-04-15,125,40,68
2026-04-16,125,40,74
2026-04-17,125,40,73
