name,unique_exits,total_exits,exit_rate
/,25,25,64.1
/work,4,4,57.1
/academy,3,3,37.5
/about,2,2,28.6
/assessment,1,1,100.0
/contact,1,1,16.7
/locations/sunshine-coast,1,1,100.0
/research,1,1,50.0
/tools,1,1,100.0
