name,visitors,pageviews,bounce_rate,time_on_page,scroll_depth
/,30,39,57,76,41
/contact,27,6,0,19,64
/report,12,0,0,,
/insights/ai-readiness-stages-australia,9,0,0,,
/insights/ai-implementation-cost-australia,8,0,0,,
/work,7,7,67,16,83
/about,5,7,0,34,89
/academy,5,8,0,22,55
/research,2,2,0,34,66
/assessment,1,1,100,,
/locations/gold-coast,1,1,0,16,100
/locations/sunshine-coast,1,1,0,42,97
/tools,1,1,100,,
